"movieid";"title";"year"
1984372;"Halloween: The Curse of Michael Myers (1995)";"1995"
1984593;"Hamam (1997)";"1997"
1984751;"Hamlet (1907)";"1907"
1984763;"Hamlet (1948)";"1948"
1984785;"Hamlet (1990)";"1990"
1984792;"Hamlet (1996)";"1996"
1984793;"Hamlet (2000)";"2000"
1985138;"Hana-bi (1997)";"1997"
1985443;"Handle with Care (1977)";"1977"
1985576;"Hands on a Hard Body: The Documentary (1997)";"1997"
1985642;"Hang 'Em High (1968)";"1968"
1985755;"Hanging Up (2000)";"2000"
1985793;"Hangmen Also Die! (1943)";"1943"
1986482;"Happiness (1998)";"1998"
1986845;"Happy Gilmore (1996)";"1996"
1986848;"Happy Go Lovely (1951)";"1951"
1987088;"Happy Weekend (1996)";"1996"
1987126;"Happy, Texas (1999)";"1999"
1987387;"Hard Core Logo (1996)";"1996"
1987547;"Hard Rain (1998)";"1998"
1987607;"Hard Target (1993)";"1993"
1988142;"Harlem (1943)";"1943"
1988380;"Harold and Maude (1971)";"1971"
1988448;"Harriet the Spy (1996)";"1996"
1988626;"Harry and the Hendersons (1987)";"1987"
1988834;"Harvest (1998)";"1998"
1988919;"Harvey (1950)";"1950"
1989616;"Haunted Honeymoon (1986)";"1986"
1989826;"Hav Plenty (1997)";"1997"
1990705;"He Got Game (1998)";"1998"
1990862;"He Walked by Night (1948)";"1948"
1991064;"Head Above Water (1996)";"1996"
1991115;"Head On (1998)";"1998"
1991269;"Headless Body in Topless Bar (1995)";"1995"
1991544;"Hear My Song (1991)";"1991"
1991646;"Heart Condition (1990)";"1990"
1991707;"Heart and Souls (1993)";"1993"
1991951;"Heartbreak Ridge (1986)";"1986"
1991969;"Heartburn (1986)";"1986"
1992100;"Hearts and Minds (1974)";"1974"
1992217;"Heat (1995)";"1995"
1992315;"Heathers (1988)";"1988"
1992335;"Heaven & Earth (1993)";"1993"
1992344;"Heaven (1998)";"1998"
1992374;"Heaven Can Wait (1978)";"1978"
1992459;"Heaven's Burning (1997)";"1997"
1992478;"Heaven's Prisoners (1996)";"1996"
1992502;"Heavenly Creatures (1994)";"1994"
1992538;"Heavy (1995)";"1995"
1992600;"Heavy Metal (1981)";"1981"
1992682;"Heavyweights (2005)";"2005"
1992774;"Hedd Wyn (1992)";"1992"
1993553;"Held Up (1999)";"1999"
1993850;"Hell Night (1981)";"1981"
1993913;"Hell in the Pacific (1968)";"1968"
1994073;"Hellbound: Hellraiser II (1988)";"1988"
1994279;"Hello Mary Lou: Prom Night II (1987)";"1987"
1994414;"Hellraiser (1987)";"1987"
1994418;"Hellraiser III: Hell on Earth (1992)";"1992"
1994419;"Hellraiser: Bloodline (1996)";"1996"
1994580;"Help! (1965)";"1965"
1995071;"Henry Fool (1997)";"1997"
1995121;"Henry V (1989)";"1989"
1995178;"Henry: Portrait of a Serial Killer (1986)";"1986"
1995179;"Henry: Portrait of a Serial Killer, Part 2 (1996)";"1996"
1996222;"Herbie Goes Bananas (1980)";"1980"
1996223;"Herbie Goes to Monte Carlo (1977)";"1977"
1996227;"Herbie Rides Again (1974)";"1974"
1996275;"Hercules (1997)";"1997"
1996365;"Here Comes Cookie (1935)";"1935"
1996544;"Here on Earth (2000)";"2000"
1996888;"Hero (1975)";"1975"
1998427;"Hi-Yo Silver (1940)";"1940"
1998849;"Hideaway (1995)";"1995"
1998864;"Hideous Kinky (1998)";"1998"
1999026;"High Art (1998)";"1998"
1999095;"High Fidelity (2000)";"2000"
1999210;"High Noon (1952)";"1952"
1999241;"High Plains Drifter (1973)";"1973"
1999308;"High School High (1996)";"1996"
1999581;"Higher Learning (1995)";"1995"
1999623;"Highlander (1986)";"1986"
1999628;"Highlander III: The Sorcerer (1994)";"1994"
1999634;"Highlander: Endgame (2000)";"2000"
1999986;"Hilary and Jackie (1998)";"1998"
2000130;"Hillbillys in a Haunted House (1967)";"1967"
2001271;"His Girl Friday (1940)";"1940"
2002121;"Histoires extraordinaires (1968)";"1968"
2002500;"History of the World: Part I (1981)";"1981"
2003554;"Hocus Pocus (1993)";"1993"
2003869;"Hol volt, hol nem volt (1987)";"1987"
2004240;"Holiday Inn (1942)";"1942"
2004435;"Hollow Man (2000)";"2000"
2004444;"Hollow Reed (1996)";"1996"
2005166;"Holy Man (1998)";"1998"
2005202;"Holy Smoke (1999)";"1999"
2005242;"Homage (1995)";"1995"
2005280;"Hombre mirando al sudeste (1986)";"1986"
2005459;"Home Alone (1990)";"1990"
2005467;"Home Alone 2: Lost in New York (1992)";"1992"
2005469;"Home Alone 3 (1997)";"1997"
2005550;"Home Fries (1998)";"1998"
2005656;"Home Page (1998)";"1998"
2005831;"Home for the Holidays (1995)";"1995"
2006016;"Homegrown (1998)";"1998"
2006320;"Homeward Bound II: Lost in San Francisco (1996)";"1996"
2006322;"Homeward Bound: The Incredible Journey (1993)";"1993"
2006660;"Honey I Blew Up the Kid (1992)";"1992"
2006702;"Honey, I Shrunk the Kids (1989)";"1989"
2006796;"Honeymoon in Vegas (1992)";"1992"
2006907;"Hong gao liang (1987)";"1987"
2006992;"Honigmond (1996)";"1996"
2007256;"Hoodlum (1997)";"1997"
2007295;"Hoogste tijd (1995)";"1995"
2007305;"Hook (1991)";"1991"
2007465;"Hoop Dreams (1994)";"1994"
2007522;"Hoosiers (1986)";"1986"
2007673;"Hope Floats (1998)";"1998"
2008297;"Horror Express (1972)";"1972"
2008830;"Hostile Intentions (1997)";"1997"
2009281;"Hot Lead and Cold Feet (1978)";"1978"
2009507;"Hot Shots! Part Deux (1993)";"1993"
2010080;"Hotel de Love (1996)";"1996"
2010339;"House (1986)";"1986"
2010351;"House Arrest (1996)";"1996"
2010417;"House II: The Second Story (1987)";"1987"
2010432;"House Party (1990)";"1990"
2010439;"House Party 2 (1991)";"1991"
2010442;"House Party 3 (1994)";"1994"
2010567;"House of Dracula (1945)";"1945"
2010591;"House of Frankenstein (1944)";"1944"
2010811;"House on Haunted Hill (1959)";"1959"
2010812;"House on Haunted Hill (1999)";"1999"
2010861;"Houseguest (1995)";"1995"
2011220;"How Green Was My Valley (1941)";"1941"
2011327;"How I Won the War (1967)";"1967"
2011538;"How Stella Got Her Groove Back (1998)";"1998"
2011835;"How to Be a Player (1997)";"1997"
2012189;"How to Make an American Quilt (1995)";"1995"
2012308;"How to Stuff a Wild Bikini (1965)";"1965"
2012468;"Howard the Duck (1986)";"1986"
2012474;"Howards End (1992)";"1992"
2012514;"Howling II: Stirba - Werewolf Bitch (1985)";"1985"
2013009;"Huang jia shi jie (1985)";"1985"
2013180;"Hud (1963)";"1963"
2013370;"Hugo Pool (1997)";"1997"
2013847;"Human Traffic (1999)";"1999"
2014240;"Hung fan kui (1995)";"1995"
2014741;"Huozhe (1994)";"1994"
2014806;"Hurlyburly (1998)";"1998"
2014847;"Hurricane (1997)";"1997"
2014992;"Hush (1998)";"1998"
2015145;"Hustler White (1996)";"1996"
2015664;"Hype! (1996)";"1996"
2016321;"Höstsonaten (1978)";"1978"
2016990;"I Confess (1953)";"1953"
2017211;"I Dreamed of Africa (2000)";"2000"
2017357;"I Got the Hook Up (1998)";"1998"
2017615;"I Know What You Did Last Summer (1997)";"1997"
2017696;"I Like It Like That (1994)";"1994"
2018026;"I Love Trouble (1994)";"1994"
2018109;"I Love You, Don't Touch Me! (1997)";"1997"
2018119;"I Love You, I Love You Not (1996)";"1996"
2018220;"I Married a Strange Person! (1997)";"1997"
2018491;"I Saw What You Did (1965)";"1965"
2018562;"I Shot Andy Warhol (1996)";"1996"
2018570;"I Shot a Man in Vegas (1995)";"1995"
2018634;"I Still Know What You Did Last Summer (1998)";"1998"
2019104;"I Went Down (1997)";"1997"
2019186;"I Woke Up Early the Day I Died (1998)";"1998"
2019328;"I bambini ci guardano (1944)";"1944"
2019451;"I corpi presentano tracce di violenza carnale (1973)";"1973"
2020617;"I tre volti della paura (1963)";"1963"
2020780;"I'll Be Home for Christmas (1998)";"1998"
2020812;"I'll Do Anything (1994)";"1994"
2020856;"I'll Never Forget What's'isname (1967)";"1967"
2021095;"I'm Not Rappaport (1996)";"1996"
2021329;"I'm the One That I Want (2000)";"2000"
2021560;"I.Q. (1994)";"1994"
2023079;"Identificazione di una donna (1982)";"1982"
2023205;"Idioterne (1998)";"1998"
2023228;"Idle Hands (1999)";"1999"
2023565;"If Lucy Fell (1996)";"1996"
2023785;"If.... (1968)";"1968"
2024562;"Il Cristo proibito (1951)";"1951"
2024833;"Il buono, il brutto, il cattivo. (1966)";"1966"
2025172;"Il conformista (1970)";"1970"
2025742;"Il giardino dei Finzi Contini (1970)";"1970"
2026315;"Il mostro (1994)";"1994"
2026671;"Il portiere di notte (1974)";"1974"
2027057;"Il rosso segno della follia (1970)";"1970"
2027469;"Il testimone dello sposo (1997)";"1997"
2027949;"Ill Gotten Gains (1997)";"1997"
2028072;"Illtown (1996)";"1996"
2028079;"Illuminata (1998)";"1998"
2028238;"Ilsa: She Wolf of the SS (1975)";"1975"
2029309;"Immortal Beloved (1994)";"1994"
2029381;"Impact (1949)";"1949"
2029975;"In & Out (1997)";"1997"
2030303;"In Dreams (1999)";"1999"
2030427;"In God's Hands (1998)";"1998"
2030641;"In Love and War (1996)";"1996"
2030843;"In Old California (1942)";"1942"
2031233;"In Search of the Castaways (1962)";"1962"
2031463;"In Too Deep (1999)";"1999"
2032104;"In the Army Now (1994)";"1994"
2032173;"In the Bleak Midwinter (1995)";"1995"
2032270;"In the Company of Men (1997)";"1997"
2032626;"In the Heat of the Night (1967)";"1967"
2032743;"In the Line of Fire (1993)";"1993"
2032839;"In the Mouth of Madness (1994)";"1994"
2032879;"In the Name of the Father (1993)";"1993"
2033355;"In weiter Ferne, so nah! (1993)";"1993"
2033854;"Incognito (1997)";"1997"
2034091;"Indecent Proposal (1993)";"1993"
2034166;"Independence Day (1996)";"1996"
2034409;"Indian Summer (1996)";"1996"
2034464;"Indiana Jones and the Last Crusade (1989)";"1989"
2034473;"Indiana Jones and the Temple of Doom (1984)";"1984"
2034705;"Indochine (1992)";"1992"
2035079;"Inferno (1980)";"1980"
2035238;"Infinity (1996)";"1996"
2035535;"Inherit the Wind (1960)";"1960"
2036706;"Inside (1987)";"1987"
2037379;"Insomnia (1997)";"1997"
2037451;"Inspector Gadget (1999)";"1999"
2037640;"Instinct (1999)";"1999"
2037667;"Institute Benjamenta, or This Dream People Call Human Life (1995)";"1995"
2038091;"Interiors (1978)";"1978"
2038757;"Interview with the Vampire: The Vampire Chronicles (1994)";"1994"
2038910;"Intimate Relations (1996)";"1996"
2039701;"Invasion of the Body Snatchers (1956)";"1956"
2039774;"Inventing the Abbotts (1997)";"1997"
2040205;"Io speriamo che me la cavo (1992)";"1992"
2040689;"Irma la Douce (1963)";"1963"
2040763;"Iron Eagle (1986)";"1986"
2040764;"Iron Eagle II (1988)";"1988"
2040765;"Iron Eagle IV (1995)";"1995"
2041945;"Isn't She Great (2000)";"2000"
2042409;"It Came from Beneath the Sea (1955)";"1955"
2042414;"It Came from Hollywood (1982)";"1982"
2042417;"It Came from Outer Space (1953)";"1953"
2042450;"It Conquered the World (1956)";"1956"
2042462;"It Could Happen to You (1994)";"1994"
2042524;"It Happened Here (1942)";"1942"
2042532;"It Happened One Night (1934)";"1934"
2042748;"It Takes Two (1995)";"1995"
2043167;"It's My Party (1996)";"1996"
2043588;"It's a Wonderful Life (1946)";"1946"
2043628;"It's in the Water (1997)";"1997"
2044667;"J'ai pas sommeil (1994)";"1994"
2044913;"JFK (1991)";"1991"
2044952;"JLG/JLG - autoportrait de décembre (1994)";"1994"
2045231;"Jack & Sarah (1995)";"1995"
2045245;"Jack (1996)";"1996"
2045328;"Jack Frost (1998)";"1998"
2045876;"Jackie Brown (1997)";"1997"
2046051;"Jacob's Ladder (2012)";"2012"
2046161;"Jade (1995)";"1995"
2046389;"Jagged Edge (1985)";"1985"
2046586;"Jail Bait (1954)";"1954"
2046667;"Jails, Hospitals & Hip-Hop (2000)";"2000"
2046902;"Jakob the Liar (1999)";"1999"
2047096;"Jamaica Inn (1939)";"1939"
2047331;"James and the Giant Peach (1996)";"1996"
2047593;"Jane Austen's Mafia! (1998)";"1998"
2047641;"Jane Eyre (1996)";"1996"
2048384;"Jason Lives: Friday the 13th Part VI (1986)";"1986"
2048413;"Jason's Lyric (1994)";"1994"
2048611;"Jawbreaker (1999)";"1999"
2048619;"Jaws (1975)";"1975"
2048622;"Jaws 2 (1978)";"1978"
2048624;"Jaws 3-D (1983)";"1983"
2049321;"Jean de Florette (1986)";"1986"
2049438;"Jeanne et le garçon formidable (1998)";"1998"
2049814;"Jefferson in Paris (1995)";"1995"
2049822;"Jeffrey (1995)";"1995"
2050120;"Jennifer Eight (1992)";"1992"
2050380;"Jeremiah Johnson (1972)";"1972"
2050532;"Jerry Maguire (1996)";"1996"
2050561;"Jerry and Tom (1998)";"1998"
2051069;"Jesus' Son (1999)";"1999"
2052306;"Jimmy Hollywood (1994)";"1994"
2052559;"Jing Ke ci Qin Wang (1998)";"1998"
2052620;"Jingle All the Way (1996)";"1996"
2053107;"Joan of Arc (1999)";"1999"
2053384;"Joe Gould's Secret (2000)";"2000"
2053502;"Joe the King (1999)";"1999"
2053508;"Joe's Apartment (1996)";"1996"
2054459;"Johnny Mnemonic (1995)";"1995"
2054549;"Johnny cien pesos (1994)";"1994"
2054579;"Johns (1996)";"1996"
2054984;"Jonas qui aura 25 ans en l'an 2000 (1976)";"1976"
2056719;"Jude (1996)";"1996"
2056752;"Judge Dredd (1995)";"1995"
2056849;"Judgment Night (1993)";"1993"
2056919;"Judy Berlin (1999)";"1999"
2057285;"Jui kuen (1978)";"1978"
2057507;"Jules et Jim (1962)";"1962"
2057709;"Julien Donkey-Boy (1999)";"1999"
2057859;"Jumanji (1995)";"1995"
2057973;"Jumpin' Jack Flash (1986)";"1986"
2058247;"Jungle 2 Jungle (1997)";"1997"
2058289;"Jungle Fever (1991)";"1991"
2058442;"Junior (1994)";"1994"
2058644;"Jupiter's Wife (1995)";"1995"
2058680;"Jurassic Park (1993)";"1993"
2058733;"Jury Duty (1995)";"1995"
2058950;"Just Cause (1995)";"1995"
2059661;"Just the Ticket (2004)";"2004"
2061440;"Kagemusha (1980)";"1980"
2062622;"Kalifornia (1993)";"1993"
2062958;"Kama Sutra: A Tale of Love (1996)";"1996"
2064107;"Kansas City (1996)";"1996"
2064709;"Karakter (1997)";"1997"
2065922;"Kaspar Hauser (1993)";"1993"
2066931;"Kavkazskiy plennik (1996)";"1996"
2067104;"Kazaam (1996)";"1996"
2067595;"Keep the Aspidistra Flying (1997)";"1997"
2067764;"Keeping the Faith (2000)";"2000"
2068023;"Keiner liebt mich (1994)";"1994"
2068316;"Kelly's Heroes (1970)";"1970"
2069192;"Key Largo (1948)";"1948"
2069265;"Keys to Tulsa (1996)";"1996"
2069717;"Khomreh (1994)";"1994"
2070201;"Kicked in the Head (1997)";"1997"
2070230;"Kicking and Screaming (1995)";"1995"
2070468;"Kidnapped (1960)";"1960"
2070548;"Kids (1995)";"1995"
2070614;"Kids in the Hall: Brain Candy (1996)";"1996"
2070622;"Kids of Survival (1996)";"1996"
2070627;"Kids of the Round Table (1997)";"1997"
2070880;"Kika (1993)";"1993"
2071313;"Killer (1994)";"1994"
2071566;"Killer's Kiss (1955)";"1955"
2071578;"Killer: A Journal of Murder (1995)";"1995"
2071800;"Killing Zoe (1993)";"1993"
2071915;"Kim (1950)";"1950"
2072443;"King Creole (1958)";"1958"
2072508;"King Kong (1933)";"1933"
2072510;"King Kong (1976)";"1976"
2072519;"King Kong Lives (1986)";"1986"
2072728;"King of New York (1990)";"1990"
2072804;"King of the Hill (1993)";"1993"
2073054;"Kingpin (1996)";"1996"
2073156;"Kingu Kongu tai Gojira (1962)";"1962"
2073938;"Kiss Me, Guido (1997)";"1997"
2074015;"Kiss of Death (1995)";"1995"
2074067;"Kiss the Girls (1997)";"1997"
2074106;"Kissed (1996)";"1996"
2074187;"Kissing a Fool (1998)";"1998"
2074632;"Kjærlighetens kjøtere (1995)";"1995"
2075122;"Klute (1971)";"1971"
2075324;"Knightriders (1981)";"1981"
2075452;"Knock Off (1998)";"1998"
2075554;"Knockout (1941)";"1941"
2076744;"Kolja (1996)";"1996"
2077306;"Koneko monogatari (1986)";"1986"
2078652;"Koyaanisqatsi (1982)";"1982"
2078857;"Kramer vs. Kramer (1979)";"1979"
2079361;"Krippendorf's Tribe (1998)";"1998"
2079616;"Kronos (1957)";"1957"
2080444;"Kull the Conqueror (1997)";"1997"
2080719;"Kundun (1997)";"1997"
2081397;"Kurt & Courtney (1998)";"1998"
2082589;"Kådisbellan (1993)";"1993"
2082758;"Kôkaku kidôtai (1995)";"1995"
2084764;"L'associé (1979)";"1979"
2085383;"L'enfer (1994)";"1994"
2085434;"L'ennui (1998)";"1998"
2086876;"L'oeil de Vichy (1993)";"1993"
2087502;"L'uomo delle stelle (1995)";"1995"
2087693;"L'école de la chair (1998)";"1998"
2088076;"L.A. Confidential (1997)";"1997"
2088141;"L.A. Story (1991)";"1991"
2088412;"La Bamba (1987)";"1987"
2091188;"La ciociara (1960)";"1960"
2091255;"La cité des enfants perdus (1995)";"1995"
2091405;"La collectionneuse (1967)";"1967"
2092032;"La cérémonie (1995)";"1995"
2092629;"La double vie de Véronique (1991)";"1991"
2093179;"La femme de chambre du Titanic (1997)";"1997"
2093616;"La fille seule (1995)";"1995"
2093617;"La fille sur le pont (1999)";"1999"
2093759;"La flor de mi secreto (1995)";"1995"
2094426;"La grande bouffe (1973)";"1973"
2094455;"La grande illusion (1937)";"1937"
2094683;"La guerre du feu (1981)";"1981"
2094747;"La haine (1995)";"1995"
2094854;"La historia oficial (1985)";"1985"
2095261;"La legge (1959)";"1959"
2095288;"La leggenda del pianista sull'oceano (1998)";"1998"
2095320;"La lengua de las mariposas (1999)";"1999"
2096283;"La maschera del demonio (1960)";"1960"
2096794;"La mort en ce jardin (1956)";"1956"
2096850;"La morte vivante (1982)";"1982"
2097603;"La novia ensangrentada (1972)";"1972"
2097722;"La nuit fantastique (1942)";"1942"
2098630;"La planète sauvage (1973)";"1973"
2099040;"La promesse (1996)";"1996"
2099471;"La reine Margot (1994)";"1994"
2100174;"La scorta (1993)";"1993"
2100901;"La symphonie pastorale (1946)";"1946"
2100911;"La séparation (1994)";"1994"
2102238;"La vie est belle (1987)";"1987"
2102302;"La vie rêvée des anges (1998)";"1998"
2102312;"La vie sexuelle des Belges 1950-1978 (1994)";"1994"
2102344;"La vieille qui marchait dans la mer (1991)";"1991"
2102540;"La vita è bella (1997)";"1997"
2103144;"Labyrinth (1986)";"1986"
2103526;"Ladri di biciclette (1948)";"1948"
2103866;"Lady and the Tramp (1955)";"1955"
2103908;"Lady of Burlesque (1943)";"1943"
2103955;"Ladybird Ladybird (1994)";"1994"
2103975;"Ladyhawke (1985)";"1985"
2104410;"Lake Placid (1999)";"1999"
2104759;"Lamerica (1994)";"1994"
2105754;"Larger Than Life (1996)";"1996"
2106723;"Las vampiras (1969)";"1969"
2106899;"Lassie (1994)";"1994"
2106940;"Last Action Hero (1993)";"1993"
2107118;"Last Dance (1996)";"1996"
2107343;"Last Man Standing (1996)";"1996"
2107404;"Last Night (2007)";"2007"
2107497;"Last Resort (1986)";"1986"
2107634;"Last Summer in the Hamptons (1995)";"1995"
2107847;"Lat sau san taam (1992)";"1992"
2107892;"Late Bloomers (1996)";"1996"
2108364;"Lauderdale (1989)";"1989"
2108654;"Laura (1944)";"1944"
2109065;"Lawn Dogs (1997)";"1997"
2109077;"Lawnmower Man 2: Beyond Cyberspace (1996)";"1996"
2109093;"Lawrence of Arabia (1962)";"1962"
2110112;"Le bonheur (1965)";"1965"
2110128;"Le bonheur est dans le pré (1995)";"1995"
2110973;"Le colonel Chabert (1994)";"1994"
2111069;"Le confessionnal (1995)";"1995"
2111847;"Le dîner de cons (1998)";"1998"
2111960;"Le feu follet (1963)";"1963"
2112240;"Le garçu (1995)";"1995"
2112346;"Le grand bleu (1988)";"1988"
2112512;"Le huitième jour (1996)";"1996"
2112515;"Le hussard sur le toit (1995)";"1995"
2113512;"Le mépris (1963)";"1963"
2113531;"Le nain rouge (1998)";"1998"
2113595;"Le notti di Cabiria (1957)";"1957"
2114355;"Le procès (1962)";"1962"
2114635;"Le retour de Martin Guerre (1982)";"1982"
2115171;"Le septième ciel (1997)";"1997"
2115628;"Le temps retrouvé, d'après l'oeuvre de Marcel Proust (1999)";"1999"
2116072;"Le violon rouge (1998)";"1998"
2116658;"Leather Jacket Love Story (1997)";"1997"
2116708;"Leatherface: Texas Chainsaw Massacre III (1990)";"1990"
2116736;"Leave It to Beaver (1997)";"1997"
2116855;"Leaving Las Vegas (1995)";"1995"
2117546;"Legal Deceit (1997)";"1997"
2117637;"Legend (1985)";"1985"
2117874;"Legends of the Fall (1994)";"1994"
2119117;"Les Boys (1997)";"1997"
2119264;"Les Misérables (1998)";"1998"
2119409;"Les amants criminels (1999)";"1999"
2119425;"Les amants du Pont-Neuf (1991)";"1991"
2120136;"Les convoyeurs attendent (1999)";"1999"
2120569;"Les enfants du paradis (1945)";"1945"
2121501;"Les maîtres du temps (1982)";"1982"
2121565;"Les misérables (1995)";"1995"
2121785;"Les nuits fauves (1992)";"1992"
2121889;"Les parapluies de Cherbourg (1964)";"1964"
2122177;"Les quatre cents coups (1959)";"1959"
2122231;"Les rendez-vous de Paris (1995)";"1995"
2122271;"Les roseaux sauvages (1994)";"1994"
2122764;"Les visiteurs (1993)";"1993"
2122788;"Les voleurs (1996)";"1996"
2123712;"Let It Come Down: The Life of Paul Bowles (1998)";"1998"
2124042;"Let's Get Harry (1986)";"1986"
2124260;"Let's Talk About Sex (1998)";"1998"
2124355;"Lethal Weapon (1987)";"1987"
2124357;"Lethal Weapon 2 (1989)";"1989"
2124358;"Lethal Weapon 3 (1992)";"1992"
2124359;"Lethal Weapon 4 (1998)";"1998"
2125443;"Liar Liar (1997)";"1997"
2125639;"Liberty Heights (1999)";"1999"
2125784;"Licence to Kill (1989)";"1989"
2126243;"Liebelei (1933)";"1933"
2126595;"Life (1920)";"1920"
2126772;"Life During Wartime (1997)";"1997"
2127239;"Life of Brian (1979)";"1979"
2127402;"Life with Mikey (1993)";"1993"
2127563;"Lifeboat (1944)";"1944"
2127575;"Lifeforce (1985)";"1985"
2127843;"Light It Up (1999)";"1999"
2127886;"Light Years (1991)";"1991"
2127926;"Light of Day (1987)";"1987"
2128046;"Lightning Jack (1994)";"1994"
2128569;"Lilian's Story (1996)";"1996"
2128890;"Limbo (1999)";"1999"
2128957;"Limelight (1952)";"1952"
2130340;"Little Big League (1994)";"1994"
2130342;"Little Big Man (1970)";"1970"
2130419;"Little Boy Blue (1997)";"1997"
2130468;"Little Buddha (1993)";"1993"
2130504;"Little City (1997)";"1997"
2130832;"Little Lord Fauntleroy (1936)";"1936"
2130889;"Little Men (1998)";"1998"
2131017;"Little Nemo: Adventures in Slumberland (1989)";"1989"
2131031;"Little Odessa (1994)";"1994"
2131225;"Little Shop of Horrors (1986)";"1986"
2131334;"Little Voice (1998)";"1998"
2131430;"Little Women (1994)";"1994"
2131675;"Live Nude Girls (1995)";"1995"
2131729;"Live and Let Die (1973)";"1973"
2132235;"Living Out Loud (1998)";"1998"
2132367;"Living in Oblivion (1995)";"1995"
2133245;"Loaded (1994)";"1994"
2133276;"Loaded Weapon 1 (1993)";"1993"
2133416;"Local Hero (1983)";"1983"
2133500;"Lock, Stock and Two Smoking Barrels (1998)";"1998"
2133798;"Logan's Run (1976)";"1976"
2134027;"Lola rennt (1998)";"1998"
2134055;"Lolita (1962)";"1962"
2134058;"Lolita (1997)";"1997"
2134388;"Lone Star (1996)";"1996"
2134453;"Lonely Are the Brave (1962)";"1962"
2134924;"Long xiong hu di (1986)";"1986"
2135675;"Looking for Richard (1996)";"1996"
2136104;"Lord of Illusions (1995)";"1995"
2136125;"Lord of the Flies (1963)";"1963"
2136535;"Los amantes del Círculo Polar (1998)";"1998"
2137901;"Loser (1991)";"1991"
2137905;"Loser (2000)";"2000"
2137970;"Losing Isaiah (1995)";"1995"
2138073;"Lost & Found (1995)";"1995"
2138292;"Lost Highway (1997)";"1997"
2138299;"Lost Horizon (1937)";"1937"
2138727;"Lost in Space (1998)";"1998"
2139026;"Lotto Land (1995)";"1995"
2139396;"Love & Basketball (2000)";"2000"
2139407;"Love & Human Remains (1993)";"1993"
2139438;"Love & Sex (2000)";"2000"
2139545;"Love Affair (1994)";"1994"
2139928;"Love Is All There Is (1996)";"1996"
2140029;"Love Is a Many-Splendored Thing (1955)";"1955"
2140049;"Love Is the Devil: Study for a Portrait of Francis Bacon (1998)";"1998"
2140074;"Love Jones (1997)";"1997"
2140461;"Love Serenade (1996)";"1996"
2140530;"Love Stinks (1999)";"1999"
2140712;"Love Walked In (1997)";"1997"
2140806;"Love and Death (1975)";"1975"
2140811;"Love and Death on Long Island (1997)";"1997"
2140922;"Love and Other Catastrophes (1996)";"1996"
2140999;"Love and a .45 (1994)";"1994"
2141139;"Love in Bloom (1935)";"1935"
2141230;"Love in the Afternoon (1957)";"1957"
2141393;"Love! Valour! Compassion! (1997)";"1997"
2141461;"Love's Labour's Lost (2000)";"2000"
2141703;"Love, etc. (1996)";"1996"
2141961;"Lover's Knot (1996)";"1996"
2142487;"Lucas (1986)";"1986"
2142714;"Lucie Aubrac (1997)";"1997"
2143749;"Lulu on the Bridge (1998)";"1998"
2144390;"Lured (1947)";"1947"
2144547;"Lust och fägring stor (1995)";"1995"
2145409;"Léon (1994)";"1994"
2145603;"M (1931)";"1931"
2145699;"M. Butterfly (1993)";"1993"
2145942;"MASH (1970)";"1970"
2146691;"MURDER and murder (1996)";"1996"
2146907;"Ma saison préférée (1993)";"1993"
2146945;"Ma vie en rose (1997)";"1997"
2147404;"Macao (1952)";"1952"
2147519;"Macchie solari (1975)";"1975"
2147811;"Mackenna's Gold (1969)";"1969"
2147941;"Mad About Mambo (2000)";"2000"
2147962;"Mad City (1997)";"1997"
2147992;"Mad Dog Time (1996)";"1996"
2148026;"Mad Love (1995)";"1995"
2148037;"Mad Max (1979)";"1979"
2148039;"Mad Max 2 (1981)";"1981"
2148040;"Mad Max Beyond Thunderdome (1985)";"1985"
2148165;"Madagascar Skin (1995)";"1995"
2148281;"Madame Butterfly (1995)";"1995"
2148400;"Madame Sousatzka (1988)";"1988"
2148608;"Made in America (1993)";"1993"
2148848;"Madeline (1998)";"1998"
2149158;"Madonna: Truth or Dare (1991)";"1991"
2150211;"Magnolia (1999)";"1999"
2150224;"Magnum Force (1973)";"1973"
2151493;"Major League: Back to the Minors (1998)";"1998"
2151499;"Major Payne (1995)";"1995"
2151740;"Make Mine Music (1946)";"1946"
2153014;"Malcolm X (1992)";"1992"
2153110;"Male and Female (1919)";"1919"
2153283;"Malice (1993)";"1993"
2153421;"Malli (1998)";"1998"
2153457;"Mallrats (1995)";"1995"
2153998;"Mamma Roma (1962)";"1962"
2154565;"Man of Her Dreams (1997)";"1997"
2154596;"Man of the Century (1999)";"1999"
2154607;"Man of the House (1995)";"1995"
2154630;"Man of the Year (1995)";"1995"
2154663;"Man on the Moon (1999)";"1999"
2155643;"Manhattan (1979)";"1979"
2155689;"Manhattan Murder Mystery (1993)";"1993"
2156231;"Manny & Lo (1996)";"1996"
2156364;"Manon des sources (1986)";"1986"
2156478;"Mansfield Park (1999)";"1999"
2157118;"Marathon Man (1976)";"1976"
2157273;"Marcello Mastroianni: mi ricordo, sì, io mi ricordo (1997)";"1997"
2157724;"Margaret's Museum (1995)";"1995"
2158286;"Marie Baie des Anges (1997)";"1997"
2159085;"Marked for Death (1990)";"1990"
2159258;"Marnie (1964)";"1964"
2159513;"Married to the Mob (1988)";"1988"
2159587;"Mars Attacks! (1996)";"1996"
